name	x	y	z	type	material
Fp1	-32	77	19	cup	Ag/AgCl
Fp2	32	77	19	cup	Ag/AgCl
F3	-52	35	57	cup	Ag/AgCl
F4	52	35	57	cup	Ag/AgCl
C3	-69	-29	69	cup	Ag/AgCl
C4	69	-29	69	cup	Ag/AgCl
P3	-54	-92	44	cup	Ag/AgCl
P4	54	-92	44	cup	Ag/AgCl
O1	-31	-116	-7	cup	Ag/AgCl
O2	31	-116	-7	cup	Ag/AgCl
F7	-72	32	5	cup	Ag/AgCl
F8	72	32	5	cup	Ag/AgCl
T7	-83	-21	-4	cup	Ag/AgCl
T8	83	-21	-4	cup	Ag/AgCl
P7	-73	-74	-8	cup	Ag/AgCl
P8	73	-74	-8	cup	Ag/AgCl
Fz	0	37	84	cup	Ag/AgCl
Cz	0	-34	105	cup	Ag/AgCl
Pz	0	-98	66	cup	Ag/AgCl
F1	-29	37	76	cup	Ag/AgCl
F2	29	37	76	cup	Ag/AgCl
P1	-30	-97	62	cup	Ag/AgCl
P2	30	-97	62	cup	Ag/AgCl
AF3	-37	64	44	cup	Ag/AgCl
AF4	37	64	44	cup	Ag/AgCl
P5	-69	-83	19	cup	Ag/AgCl
P6	69	-83	19	cup	Ag/AgCl
FC5	-77	4	32	cup	Ag/AgCl
FC6	77	4	32	cup	Ag/AgCl
C5	-82	-25	31	cup	Ag/AgCl
C6	82	-25	31	cup	Ag/AgCl
TP7	-84	-49	-6	cup	Ag/AgCl
TP8	84	-49	-6	cup	Ag/AgCl
PO5	-48	-106	8	cup	Ag/AgCl
PO6	49	-105	8	cup	Ag/AgCl
FpZ	0	85	23	cup	Ag/AgCl
FCZ	0	4	99	cup	Ag/AgCl
CPZ	0	-72	94	cup	Ag/AgCl
POZ	0	-115	33	cup	Ag/AgCl
OZ	0	-121	-5	cup	Ag/AgCl
PO3	-36	-111	20	cup	Ag/AgCl
PO4	36	-111	20	cup	Ag/AgCl
CP1	-37	-70	86	cup	Ag/AgCl
CP2	37	-70	86	cup	Ag/AgCl
CP3	-66	-63	61	cup	Ag/AgCl
CP4	66	-63	61	cup	Ag/AgCl
C1	-39	-32	93	cup	Ag/AgCl
C2	39	-32	93	cup	Ag/AgCl
F5	-66	32	32	cup	Ag/AgCl
F6	66	32	31	cup	Ag/AgCl
FC3	-62	3	64	cup	Ag/AgCl
FC4	62	3	64	cup	Ag/AgCl
FC1	-35	3	87	cup	Ag/AgCl
FC2	35	3	87	cup	Ag/AgCl
CP5	-80	-55	26	cup	Ag/AgCl
CP6	80	-55	26	cup	Ag/AgCl
PO7	-56	-100	-8	cup	Ag/AgCl
PO8	56	-100	-8	cup	Ag/AgCl
